Year,Denver Nuggets,Memphis Grizzlies,Golden State Warriors,Los Angeles Lakers,Phoenix Suns,Dallas Mavericks,Los Angeles Clippers,Utah Jazz,Minnesota Timberwolves,Portland Trail Blazers,Sacramento Kings,New Orleans Pelicans,Oklahoma City Thunder,Houston Rockets
2019,54,33,57,37,19,33,48,48,36,53,53,33,49,53
2018,46,55,58,35,21,24,42,48,47,49,49,48,48,65
2017,42,43,67,35,24,33,51,51,31,41,41,34,47,55
2016,53,42,73,15,48,42,53,53,29,44,44,30,55,41
2015,61,55,67,21,39,50,56,56,38,51,51,45,45,60
2014,57,50,51,27,48,49,57,57,40,54,54,59,59,54
2013,57,56,47,45,47,41,56,56,26,33,33,60,60,45
